Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
4679433530,"Jan 25, 2021, 9:34:58 AM",Morning Ride,Alpine Ski,"",5110,17.09,,,false,,,activities/4996558287.gpx.gz,,,5110.0,4096.0,17090.3,16.5,4.172,1873.1,1866.7,1542.8,1978.0,50.0,0.0,,,124.0,66.0,,,,,,,18.0,,,6,,,,,,,,,0.0,,0.0,,1.0,,1611565184.0,6.0,-9.0,-9.0,-10.4,0.89,1006.2,0.9,1.6,205.0,0.6,1611557760.0,1611591296.0,0.4,,,0.27,6.0,1.0,4115.0,0.0,387.7,,,,,,,,,,,,,,,,,,,,,,,""
4691725295,"Jan 27, 2021, 12:24:56 PM",Afternoon Run,Backcountry Ski,"",7659,5.73,,,false,,,activities/5009298599.gpx.gz,,,7659.0,6269.0,5732.0,7.3,0.914,517.2,400.6,1623.6,1831.6,50.0,2.0,,,99.0,49.0,,,,,,,20.0,,,,,,,5.0,,,,,0.0,80.0,0.0,,1.0,8066.3,1611748864.0,6.0,-7.0,-10.2,-7.0,1.0,1018.7,1.8,4.1,204.0,1.2,1611730432.0,1611764224.0,0.47,,,0.29,6.0,1.0,699.0,1.0,350.9,,,,,,,,,,,,,,,,,,,,,,,""
4721457129,"Feb 2, 2021, 11:27:30 AM",Lunch Run,Run,,2215,5.42,,,false,,,activities/5040272792.gpx.gz,,,2215.0,2179.0,5424.4,6.5,2.489,100.0,107.2,428.8,465.6,46.4,-0.1,,,85.0,77.0,,,,,,,17.0,,,,,,,,,,,,,,0.0,,1.0,5712.5,1612263552.0,5.0,8.0,6.3,7.7,0.98,1008.1,2.6,7.8,205.0,0.6,1612248704.0,1612283392.0,0.68,,,0.44,5.0,0.99,16093.0,1.0,329.1,,,,,,,,,,,,,,,,,,,,,,,""
4732471343,"Feb 4, 2021, 11:41:31 AM",Fahrtspiel,Run,"",2156,5.62,,,false,,,activities/5051666723.gpx.gz,,,2156.0,2134.0,5623.1,6.3,2.635,107.6,105.0,426.0,461.0,43.8,0.0,,,98.0,78.0,,,,,605.0,,19.0,,,,,,,,,,,,0.0,,0.0,,1.0,5928.8,1612436352.0,3.0,8.1,8.1,5.0,0.81,1016.7,0.8,1.5,80.0,0.0,1612421376.0,1612456448.0,0.75,,,0.0,,0.98,16093.0,1.0,330.4,,,,,,,,,,,,,,,,,,,,,,,""
4751058905,"Feb 7, 2021, 2:56:10 PM",Afternoon Run,Run,,3187,8.10,,,false,,,activities/5070963723.gpx.gz,,,3187.0,3151.0,8103.8,6.4,2.572,151.4,148.8,414.0,451.4,29.2,0.0,,,79.0,75.0,,,,,,,20.0,,,,,,,,,,,,,,0.0,,1.0,8515.8,1612706432.0,5.0,5.5,3.4,3.8,0.89,997.5,2.6,6.1,297.0,0.7,1612680192.0,1612715904.0,0.86,,,0.63,5.0,0.99,11678.0,1.0,364.6,,,,,,,,,,,,,,,,,,,,,,,""
4759855560,"Feb 9, 2021, 12:18:29 PM",Afternoon Run,Run,,2855,7.31,,,false,,,activities/5080095137.gpx.gz,,,2855.0,2796.0,7313.1,7.1,2.616,141.6,138.6,414.6,452.0,38.6,0.0,,,88.0,77.0,,,,,,,14.0,,,,,,,,,,,,,,0.0,,1.0,7701.5,1612871936.0,5.0,2.1,2.1,0.8,0.91,1003.8,1.2,1.2,278.0,0.1,1612852864.0,1612888832.0,0.93,,,0.37,5.0,0.98,8684.0,1.0,358.9,,,,,,,,,,,,,,,,,,,,,,,""
4795882476,"Feb 16, 2021, 11:57:04 AM",Lunch Run,Run,,2777,7.27,,,false,,,activities/5117451653.gpx.gz,,,2777.0,2718.0,7274.6,8.6,2.676,138.0,133.0,419.0,457.6,37.4,0.1,,,86.0,76.0,,,,,781.0,,17.0,,,,,,,,,,,,,,0.0,,1.0,7661.9,1613473152.0,2.0,6.0,6.0,4.8,0.92,1023.3,0.9,1.5,308.0,0.0,1613457024.0,1613494400.0,0.16,,,0.07,5.0,0.74,16093.0,2.0,314.6,,,,,,,,,,,,,,,,,,,,,,,""
4840587432,"Feb 24, 2021, 10:37:53 AM",Lunch Run,Run,,2491,6.32,,,false,,,activities/5163855232.gpx.gz,,,2491.0,2464.0,6325.1,7.4,2.567,124.0,114.0,416.4,453.6,46.3,0.2,,,83.0,75.0,,,,,682.0,,20.0,,,,,,,,,,,,,,0.0,,1.0,6691.4,1614160768.0,1.0,9.3,9.3,3.7,0.68,1035.5,0.4,0.7,36.0,0.0,1614147328.0,1614186240.0,0.41,,,0.0,,0.16,16093.0,2.0,278.1,,,,,,,,,,,,,,,,,,,,,,,""
4870916768,"Mar 1, 2021, 11:08:16 AM",Lunch Run,Run,,2549,6.36,,,false,,,activities/5196505484.gpx.gz,,,2549.0,2517.0,6361.8,7.0,2.528,118.2,124.0,462.0,497.8,38.1,-0.1,,,82.0,75.0,,,,,682.0,,16.0,,,,,,,,,,,,,,0.0,,1.0,6689.0,1614596352.0,1.0,7.1,7.1,0.2,0.62,1031.1,1.2,1.4,18.0,0.0,1614578816.0,1614618752.0,0.59,,,0.0,,0.02,16093.0,3.0,341.5,,,,,,,,,,,,,,,,,,,,,,,""
4882764973,"Mar 3, 2021, 12:15:45 PM","New shoe, who dis?",Run,"",1986,5.54,,,false,,HOKA Arahi 4,activities/5208803998.gpx.gz,,,1986.0,1937.0,5546.8,6.8,2.864,88.6,87.0,416.0,450.6,46.8,0.0,,,103.0,79.0,,,,,593.0,,17.0,,,,,,,,,,,,0.0,,0.0,,1.0,5819.3,1614772736.0,2.0,13.2,13.2,1.2,0.44,1030.4,0.9,1.8,256.0,0.0,1614751360.0,1614791680.0,0.67,,7993109.0,0.0,,0.6,16093.0,2.0,341.6,,,,,,,,,,,,,,,,,,,,,,,""
4907073005,"Mar 7, 2021, 1:31:12 PM",Afternoon Run,Run,,2189,6.41,,,false,,HOKA Arahi 4,activities/5234397215.gpx.gz,,,2189.0,2180.0,6415.7,6.8,2.943,48.4,47.4,412.2,424.4,20.3,0.0,,,83.0,77.0,,,,,668.0,,15.0,,,,,,,,,,,,,,0.0,,1.0,6547.7,1615122048.0,5.0,7.9,7.9,2.0,0.66,1020.4,0.9,1.9,284.0,0.1,1615096320.0,1615137536.0,0.81,,7993109.0,0.26,5.0,0.78,5291.0,2.0,391.9,,,,,,,,,,,,,,,,,,,,,,,""
4917636847,"Mar 9, 2021, 12:14:48 PM",Afternoon Run,Run,,2671,7.25,,,false,,HOKA Arahi 4,activities/5245574782.gpx.gz,,,2671.0,2635.0,7258.5,6.3,2.755,93.6,90.2,421.4,457.4,40.4,0.0,,,88.0,77.0,,,,,771.0,,16.0,,,,,,,,,,,,,,0.0,,1.0,7559.7,1615291136.0,2.0,6.6,6.6,-2.0,0.54,1018.6,1.0,1.6,314.0,0.0,1615269120.0,1615310592.0,0.88,,7993109.0,0.0,,0.85,16093.0,2.0,372.6,,,,,,,,,,,,,,,,,,,,,,,""
4930155271,"Mar 11, 2021, 5:12:10 PM",Evening Run,Run,,3726,10.16,,,false,,HOKA Arahi 4,activities/5258774384.gpx.gz,,,3726.0,3641.0,10168.7,7.3,2.793,114.8,119.6,402.0,440.4,38.1,0.0,,,114.0,77.0,,,,,1073.0,,15.0,,,,,,,,,,,,,,0.0,,1.0,10520.4,1615481984.0,3.0,13.3,13.3,6.6,0.64,1008.8,6.3,15.7,242.0,0.2,1615441664.0,1615483648.0,0.95,,7993109.0,0.16,5.0,0.99,16093.0,0.0,304.8,,,,,,,,,,,,,,,,,,,,,,,""
5042040485,"Mar 30, 2021, 9:59:36 AM",Lunch Run after flu,Run,"",2112,5.54,,,false,,HOKA Arahi 4,activities/5376151996.gpx.gz,,,2112.0,2081.0,5539.1,6.9,2.662,38.2,34.8,422.4,438.4,46.8,0.1,,,84.0,75.0,,,,,576.0,,24.0,,,,,,,,,,,,0.0,,0.0,,1.0,5647.7,1617094784.0,2.0,12.5,12.5,4.3,0.57,1032.6,0.7,0.9,10.0,0.0,1617080960.0,1617126784.0,0.58,,7993109.0,0.0,,0.54,16093.0,2.0,345.4,,,,,,,,,,,,,,,,,,,,,,,""
5069492290,"Apr 4, 2021, 1:04:17 PM",Afternoon Run,Backcountry Ski,"",1464,1.04,,,false,,,activities/5404972707.gpx.gz,,,1464.0,1336.0,1042.3,1.7,0.78,120.8,-1.2,1943.0,2065.0,48.9,11.7,,,78.0,47.0,,,,,179.0,,18.0,,,,,,,,,,,,0.0,,0.0,,1.0,1753.8,1617541248.0,1.0,3.1,1.7,-4.9,0.56,1017.9,1.5,2.4,11.0,0.0,1617512064.0,1617558912.0,0.76,,,0.0,,0.13,11478.0,4.0,378.3,,,,,,,,,,,,,,,,,,,,,,,""
5069492818,"Apr 4, 2021, 10:02:37 AM",Lunch Run,Backcountry Ski,"",4437,0.81,,,false,,,activities/5404972959.gpx.gz,,,4437.0,1287.0,818.7,2.3,0.636,247.0,4.0,1879.8,2124.8,50.0,29.7,,,124.0,46.0,,,,,233.0,,26.0,,,,,,,,,,,,0.0,,0.0,,1.0,2282.1,1617530368.0,1.0,-1.2,-1.2,-7.6,0.62,1019.8,1.2,1.9,354.0,0.0,1617512064.0,1617558912.0,0.76,,7993109.0,0.0,,0.02,16093.0,4.0,376.9,,,,,,,,,,,,,,,,,,,,,,,""
